Auteur,Date,Commentaire,Note
veronique,2024-10-25,tres bien chaussures legeres,5
Edith,2024-10-24,ce produit est tres confortable jai pris une pointure audessus de la mienne je men sers pour la marche et pour de petits footing ce produit fait vraiment laffaire pour un coureur moyen qui veut faire quelques kilometres dans la semaine bon rapport qualite prix,5
Mohamed Abderahmane,2024-10-24,excellent produit,5
MARIE HELENE,2024-10-24,japprecie sa couleur japprecie la forme pas allongee japprecie son accroche japprecie son prix pour du sport a intensite moderee,4
Christophe,2024-10-23,ma fille lutilise pour le sport au college et elle est completement satisfaite,5
Isabelle,2024-10-23,jachete ce modele car le maintien est bien pour baskets de sport au lycee et tarif moindre par rapport aux autres modeles le tarif a toutefois augmente de euros en une seule fois cest quand meme excessif surtout que la paire de baskets na pas evolue dans la forme prendre une pointure au dessus de la sienne pour etre bien,5
adeline,2024-10-22,parfait pour les balades,5
Eric,2024-10-22,bonne chaussures avec un bon amorti pour debuter la course a pied,5
Elodie,2024-10-22,notre filles est ravie de ces basket tres confortables,5
Damien,2024-10-21,bonne basket confortable,5
Christelle,2024-10-20,chaussures parfait pour faire de la course a pied agreable a porter maintient bien le pied et chaussures legeres je suis tres satisfaite de mon achat et je recommande,5
Anne marie,2024-10-20,elles sont tres confortables legeres et surtout courent vite apres mes petits fils je recommande,5
Jean-philippe,2024-10-20,tres bon maintien dans les chaussures bonne adaptation au pied large l amorti est suffisant pour une reprise de la course a pied en douceur,5
Emy,2024-10-20,je men sers comme chaussures pour la marche sportive elles sont vraiment top lamorti est vraiment bien elles ne compriment pas les pieds et ont un look passe partout que demandez de mieux,5
PHILIPPE,2024-10-19,bien pour faire des petites sorties et des marches en campagne,4
bruno,2024-10-19,confortable ma fille les adore,5
GREGORY,2024-10-19,tres bon produit agreable a porter bon amorti je recommande ce produit,5
karine,2024-10-18,nickel tient bien au pied et au sol,5
Carole,2024-10-18,javais deja eu ce modele dans une autre couleur je suis tres satisfaite de ce produit kalenji,5
Valerie,2024-10-17,legeres bon rapport qualite prix,5
NATHALIE,2024-10-17,utilisees en salle parfait maintient,5
Patricia,2024-10-17,je suis satisfaite de mon achat et je recommande,5
NATHALIE,2024-10-16,il me manque la petite boucle a larriere pour enfiler le talon cest dommage,5
